Date, Public Sector Banks ,Private Sector Banks,Foreign Banks,Scheduled Commercial Banks
Sep-14,11.32,12.17,10.94,11.52
Oct-14,11.32,11.93,11.11,11.49
Nov-14,11.24,12.09,10.87,11.51
Dec-14,11.27,12.09,10.69,11.45
Jan-15,11.04,11.81,10.63,11.22
Feb-15,11.16,11.79,10.63,11.28
Mar-15,10.86,11.93,10.5,11.07
Apr-15,11.09,11.89,10.52,11.23
May-15,10.89,11.84,10.22,11.06
Jun-15,10.9,11.68,10.33,11.03
Jul-15,10.87,11.69,10.14,10.98
Aug-15,10.77,11.6,10.39,10.97
Sep-15,10.63,11.3,10.18,10.77
Oct-15,10.72,11.47,9.76,10.78
Nov-15,10.55,11.3,9.78,10.69
Dec-15,10.44,11.19,9.61,10.59
Jan-16,10.49,11.43,9.72,10.67
Feb-16,10.48,11.06,9.65,10.54
Mar-16,10.29,10.97,10.01,10.47
Apr-16,10.54,11.02,9.71,10.59
May-16,10.51,11.09,9.51,10.61
Jun-16,10.38,10.84,9.47,10.43
Jul-16,10.3,10.94,9.58,10.39
Aug-16,10.13,11.07,9.53,10.4
Sep-16,10.17,10.99,9.47,10.35
Oct-16,10.34,10.99,9.54,10.48
Nov-16,10.03,10.76,9.51,10.22
Dec-16,10.03,10.51,9.24,10.12
Jan-17,9.8,10.39,8.9,9.93
Feb-17,9.54,10.36,9.19,9.8
Mar-17,9.56,10.12,9.42,9.74
Apr-17,9.76,10.04,9.09,9.81
May-17,9.61,10.26,9.25,9.84
Jun-17,9.37,9.75,8.97,9.5
Jul-17,9.64,10.05,9.5,9.8
Aug-17,9.39,9.74,9.33,9.53
Sep-17,9.31,9.59,9.38,9.42
Oct-17,9.39,9.62,9.43,9.48
Nov-17,9.46,9.75,9.35,9.56
Dec-17,9.36,9.52,9.1,9.41
Jan-18,9.36,9.62,9.13,9.43
Feb-18,9.33,9.94,9.28,9.55
Mar-18,9.04,9.87,9.16,9.34
Apr-18,9.04,9.99,9.33,9.41
May-18,9.1,9.91,8.88,9.4
Jun-18,9.11,9.92,9.15,9.45
Jul-18,9.27,10.1,9.32,9.65
Aug-18,9.28,10.09,9.39,9.63
Sep-18,9.45,10.06,9.32,9.67
Oct-18,9.44,10.37,9.23,9.79
Nov-18,9.47,10.42,9.46,9.89
Dec-18,9.38,10.44,9.54,9.79
Jan-19,9.47,10.69,9.63,9.97
Feb-19,9.31,10.65,9.3,9.81
Mar-19,9.15,10.59,9.63,9.73
Apr-19,9.36,10.37,9.3,9.76
May-19,9.31,10.59,9.32,9.86
Jun-19,9.25,10.32,9.1,9.68
Jul-19,9.32,10.35,9.2,9.77
Aug-19,9.21,10.2,8.94,9.67
Sep-19,9.15,10.18,8.92,9.57
Oct-19,9,10.29,8.81,9.53
Nov-19,8.9,10.21,8.77,9.47
Dec-19,8.8,10,8.64,9.29
Jan-20,8.85,10.19,8.58,9.36
Feb-20,8.64,10.27,8.42,9.26
Mar-20,8.64,9.29,8.28,8.82
Apr-20,8.44,8.91,7.73,8.52
May-20,8.31,9.21,7.19,8.59
Jun-20,8.22,8.74,7.2,8.37
Jul-20,8.18,9.12,7.22,8.53
Aug-20,8.07,8.81,7.13,8.35
Sep-20,8.12,8.66,6.72,8.29
Oct-20,7.98,9.02,7,8.38
Nov-20,7.97,8.96,6.89,8.34
Dec-20,7.75,8.7,7.24,8.13
Jan-21,7.58,8.83,7.09,8.14
Feb-21,7.5,8.91,6.97,8.19
Mar-21,7.45,9.07,6.17,8.04
Apr-21,7.77,8.79,5.88,8.1
May-21,7.83,8.27,5.75,7.81
,,,,
OUTSTANDING LOANS,,,,
, Public Sector Banks ,Private Sector Banks,Foreign Banks,Scheduled Commercial Banks
Month-end,,,,
Feb-12,12.51,12.74,12.06,12.53
Mar-12,12.63,12.41,12.08,12.56
Apr-12,12.69,12.63,12.04,12.65
May-12,12.5,12.46,12.01,12.47
Jun-12,12.39,12.47,12.23,12.4
Jul-12,12.39,12.47,12.25,12.4
Aug-12,12.38,12.5,11.28,12.35
Sep-12,12.29,12.59,11.87,12.33
Oct-12,12.22,12.32,11.92,12.23
Nov-12,12.27,12.45,11.9,12.29
Dec-12,12.21,12.43,11.73,12.23
Jan-13,12.27,12.41,11.56,12.25
Feb-13,12.13,12.49,11.96,12.19
Mar-13,12.11,12.39,12.58,12.19
Apr-13,12.04,12.39,12.58,12.14
May-13,12.05,12.17,12.56,12.11
Jun-13,12.03,12.33,12.47,12.12
Jul-13,12,12.48,12.63,12.13
Aug-13,12.02,12.52,12.88,12.17
Sep-13,12.05,12.8,13.1,12.25
Oct-13,12.02,12.53,13.04,12.17
Nov-13,12.05,12.56,12.87,12.19
Dec-13,12.02,12.58,12.7,12.18
Jan-14,12.03,12.59,12.64,12.17
Feb-14,12.01,12.64,12.46,12.16
Mar-14,11.99,12.43,12.32,12.11
Apr-14,11.99,12.54,12.32,12.11
May-14,11.98,12.54,12.38,12.11
Jun-14,11.95,12.55,12.32,12.1
Jul-14,11.8,12.53,12.31,11.98
Aug-14,11.78,12.43,12.16,11.94
Sep-14,11.74,12.54,11.68,11.9
Oct-14,11.73,12.46,12.2,11.91
Nov-14,11.74,12.42,12.12,11.9
Dec-14,11.68,12.34,12.01,11.84
Jan-15,11.69,12.39,11.86,11.85
Feb-15,11.67,12.48,11.93,11.86
Mar-15,11.61,12.24,11.84,11.76
Apr-15,11.59,12.24,11.8,11.73
May-15,11.53,12.19,11.64,11.68
Jun-15,11.46,12.07,11.69,11.61
Jul-15,11.44,12.1,11.67,11.6
Aug-15,11.43,12.09,11.8,11.6
Sep-15,11.39,11.97,11.56,11.53
Oct-15,11.2,11.85,11.39,11.35
Nov-15,11.19,11.83,11.35,11.36
Dec-15,11.14,11.85,11.33,11.31
Jan-16,11.18,11.65,11.33,11.3
Feb-16,11.15,11.75,11.21,11.31
Mar-16,11.1,11.46,11.29,11.2
Apr-16,11.15,11.61,11.18,11.26
May-16,11.14,11.53,11.15,11.25
Jun-16,11.13,11.47,11.11,11.23
Jul-16,11.12,11.48,11.03,11.22
Aug-16,11.11,11.48,11.07,11.2
Sep-16,11.07,11.44,11.02,11.17
Oct-16,11.08,11.34,11.03,11.15
Nov-16,11.06,11.34,10.9,11.13
Dec-16,11.04,11.23,11.01,11.09
Jan-17,10.98,11.18,10.97,11.03
Feb-17,10.93,11.18,10.78,10.99
Mar-17,10.74,10.92,10.93,10.8
Apr-17,10.63,10.75,10.73,10.66
May-17,10.63,10.71,10.84,10.66
Jun-17,10.59,10.82,10.87,10.67
Jul-17,10.57,10.73,10.55,10.62
Aug-17,10.54,10.8,10.49,10.62
Sep-17,10.43,10.56,10.65,10.48
Oct-17,10.38,10.58,10.62,10.45
Nov-17,10.33,10.52,10.7,10.41
Dec-17,10.29,10.47,10.62,10.36
Jan-18,10.22,10.41,10.43,10.28
Feb-18,10.24,10.53,10.33,10.33
Mar-18,10.12,10.48,10.48,10.25
Apr-18,10.14,10.5,10.34,10.26
May-18,10.12,10.53,10.28,10.25
Jun-18,10.13,10.53,10.36,10.26
Jul-18,10.12,10.53,10.36,10.26
Aug-18,10.06,10.93,10.41,10.35
Sep-18,9.99,10.94,10.44,10.32
Oct-18,10,10.99,10.56,10.34
Nov-18,10,11.04,10.59,10.36
Dec-18,9.94,11.11,10.66,10.35
Jan-19,9.8,11.06,10.63,10.27
Feb-19,9.8,11.02,10.58,10.26
Mar-19,9.81,11,10.64,10.25
Apr-19,9.84,11.11,10.61,10.31
May-19,9.82,11.12,10.59,10.31
Jun-19,9.82,11.11,10.59,10.31
Jul-19,9.83,11.11,10.44,10.31
Aug-19,9.83,11.12,10.4,10.32
Sep-19,9.8,11.12,10.32,10.29
Oct-19,9.78,11.14,10.3,10.29
Nov-19,9.75,11.12,10.18,10.27
Dec-19,9.6,11.06,9.94,10.14
Jan-20,9.59,11.06,10.17,10.15
Feb-20,9.55,11.06,9.89,10.11
Mar-20,9.45,10.95,9.74,10
Apr-20,9.34,10.9,9.37,9.9
May-20,9.3,10.81,9.36,9.84
Jun-20,9.2,10.66,9.24,9.72
Jul-20,9.13,10.71,9.09,9.7
Aug-20,9.08,10.64,9.15,9.65
Sep-20,9.07,10.52,8.93,9.59
Oct-20,8.97,10.5,8.79,9.52
Nov-20,8.91,10.46,8.91,9.47
Dec-20,8.87,10.31,8.69,9.38
Jan-21,8.79,10.32,8.76,9.34
Feb-21,8.75,10.27,8.63,9.29
Mar-21,8.7,10.14,8.37,9.21
Apr-21,8.73,10.1,8.28,9.2
May-21,8.72,10.03,7.99,9.16
