Date,Bank Rate,Repo,Reverse,Cash Reserve Ratio
22-05-2021,4.25,4,3.35,4
27-03-2021,4.25,4,3.35,3.5
22-05-2020,4.25,4,3.35,3
17-04-2020,4.65,4.4,3.75,3
11-04-2020,4.65,4.4,4,3
28-03-2020,4.65,4.4,4,3
27-03-2020,4.65,4.4,4,4
04-01-2020,5.4,5.15,4.9,4
12-10-2019,5.4,5.15,4.9,4
04-10-2019,5.4,5.15,4.9,4
07-08-2019,5.65,5.4,5.15,4
06-07-2019,6,5.75,5.5,4
06-06-2019,6,5.75,5.5,4
13-04-2019,6.25,6,5.75,4
04-04-2019,6.25,6,5.75,4
07-02-2019,6.5,6.25,6,4
05-01-2019,6.75,6.5,6.25,4
01-08-2018,6.75,6.5,6.25,4
06-06-2018,6.5,6.25,6,4
14-10-2017,6.25,6,5.75,4
02-08-2017,6.25,6,5.75,4
24-06-2017,6.5,6.25,6,4
06-04-2017,6.5,6.25,6,4
07-01-2017,6.75,6.25,5.75,4
04-10-2016,6.75,6.25,5.75,4
01-10-2016,7,6.5,6,4
09-07-2016,7,6.5,6,4
05-04-2016,7,6.5,6,4
02-04-2016,7.75,6.75,5.75,4
29-09-2015,7.75,6.75,5.75,4
27-06-2015,8.25,7.25,6.25,4
02-06-2015,8.25,7.25,6.25,4
04-03-2015,8.5,7.5,6.5,4
07-02-2015,8.75,7.75,6.75,4
15-01-2015,8.75,7.75,6.75,4
09-08-2014,9,8,7,4
14-06-2014,9,8,7,4
28-01-2014,9,8,7,4
29-10-2013,8.75,7.75,6.75,4
07-10-2013,9,7.5,6.5,4
20-09-2013,9.5,7.5,6.5,4
15-07-2013,10.25,7.25,6.25,4
03-05-2013,8.25,7.25,6.25,4
19-03-2013,8.5,7.5,6.5,4
09-02-2013,8.75,7.75,6.75,4
29-01-2013,8.75,7.75,6.75,4.25
03-11-2012,9,8,7,4.25
22-09-2012,9,8,7,4.5
11-08-2012,9,8,7,4.75
17-04-2012,9,8,7,4.75
10-03-2012,9.5,8.5,7.5,4.75
13-02-2012,9.5,8.5,7.5,5.5
28-01-2012,6,8.5,7.5,5.5
25-10-2011,6,8.5,7.5,6
16-09-2011,6,8.25,7.25,6
26-07-2011,6,8,7,6
16-06-2011,6,7.5,6.5,6
03-05-2011,6,7.25,6.25,6
17-03-2011,6,6.75,5.75,6
25-01-2011,6,6.5,5.5,6
18-12-2010,6,6.25,5.25,6
02-11-2010,6,6.25,5.25,6
16-09-2010,6,6,5,6
27-07-2010,6,5.75,4.5,6
02-07-2010,6,5.5,4,6
24-04-2010,6,5.25,3.75,6
20-04-2010,6,5.25,3.75,5.75
19-03-2010,6,5,3.5,5.75
27-02-2010,6,4.75,3.25,5.75
13-02-2010,6,4.75,3.25,5.5
07-11-2009,6,4.75,3.25,5
21-04-2009,6,4.75,3.25,5
05-03-2009,6,5,3.5,5
17-01-2009,6,5.5,4,5
05-01-2009,6,5.5,4,5.5
08-12-2008,6,6.5,5,5.5
08-11-2008,6,7.5,6,5.5
03-11-2008,6,7.5,6,6
25-10-2008,6,8,6,6
20-10-2008,6,8,6,6.5
11-10-2008,6,9,6,6.5
30-08-2008,6,9,6,9
30-07-2008,6,9,6,8.75
19-07-2008,6,8.5,6,8.75
05-07-2008,6,8.5,6,8.5
25-06-2008,6,8.5,6,8.25
12-06-2008,6,8,6,8.25
24-05-2008,6,7.75,6,8.25
10-05-2008,6,7.75,6,8
26-04-2008,6,7.75,6,7.75
10-11-2007,6,7.75,6,7.5
04-08-2007,6,7.75,6,7
28-04-2007,6,7.75,6,6.5
14-04-2007,6,7.75,6,6.25
31-03-2007,6,7.75,6,6
03-03-2007,6,7.5,6,6
17-02-2007,6,7.5,6,5.75
31-01-2007,6,7.5,6,5.5
06-01-2007,6,7.25,6,5.5
23-12-2006,6,7.25,6,5.25
31-10-2006,6,7.25,6,5
25-07-2006,6,7,6,5
08-06-2006,6,6.75,5.75,5
24-01-2006,6,6.5,5.5,5
26-10-2005,6,6.25,5.25,5
29-04-2005,6,6,5,5
27-10-2004,6,6,4.75,5
02-10-2004,6,6,4.5,5
18-09-2004,6,6,4.5,4.75
14-06-2004,6,6,4.5,4.5
31-03-2004,6,6,4.5,4.5
25-08-2003,6,7,4.5,4.5
14-06-2003,6,7,5,4.5
29-04-2003,6,7,5,4.75
19-03-2003,6.25,7,5,4.75
07-03-2003,6.25,7.1,5,4.75
03-03-2003,6.25,7.5,5,4.75
16-11-2002,6.25,7.5,5.5,4.75
12-11-2002,6.25,7.5,5.5,5
29-10-2002,6.25,8,5.5,5
27-06-2002,6.5,8,5.75,5
01-06-2002,6.5,8,6,5
28-03-2002,6.5,8,6,5.5
05-03-2002,6.5,8.5,6,5.5
29-12-2001,6.5,8.5,6.5,5.5
03-11-2001,6.5,8.5,6.5,5.75
23-10-2001,6.5,8.5,6.5,7.5
07-06-2001,7,8.5,6.5,7.5
28-05-2001,7,8.75,6.5,7.5
19-05-2001,7,8.75,6.75,7.5
30-04-2001,7,8.75,6.75,8
27-04-2001,7,9,6.75,8
