Date,Prices
01-01-1960,2.415778379
01-02-1960,2.430072926
01-03-1960,2.415778379
01-04-1960,2.463426868
01-05-1960,2.49678081
01-06-1960,2.49678081
01-07-1960,2.549194148
01-08-1960,2.53966445
01-09-1960,2.553958997
01-10-1960,2.568253543
01-11-1960,2.544429299
01-12-1960,2.525369903
01-01-1961,2.563488694
01-02-1961,2.573018392
01-03-1961,2.592077788
01-04-1961,2.553958997
01-05-1961,2.544429299
01-06-1961,2.558723845
01-07-1961,2.611137183
01-08-1961,2.587312939
01-09-1961,2.530134752
01-10-1961,2.525369903
01-11-1961,2.525369903
01-12-1961,2.49678081
01-01-1962,2.506310508
01-02-1962,2.525369903
01-03-1962,2.511075357
01-04-1962,2.525369903
01-05-1962,2.568253543
01-06-1962,2.592077788
01-07-1962,2.634961427
01-08-1962,2.663550521
01-09-1962,2.654020823
01-10-1962,2.639726276
01-11-1962,2.644491125
01-12-1962,2.553958997
01-01-1963,2.601607485
01-02-1963,2.615902032
01-03-1963,2.658785672
01-04-1963,2.706434161
01-05-1963,2.744552952
01-06-1963,2.768377196
01-07-1963,2.796966289
01-08-1963,2.806495987
01-09-1963,2.820790534
01-10-1963,2.820790534
01-11-1963,2.811260836
01-12-1963,2.811260836
01-01-1964,2.801731138
01-02-1964,2.858909325
01-03-1964,2.882733569
01-04-1964,2.897028116
01-05-1964,2.949441453
01-06-1964,3.011384488
01-07-1964,3.073327524
01-08-1964,3.140035408
01-09-1964,3.192448746
01-10-1964,3.197213595
01-11-1964,3.159094804
01-12-1964,3.197213595
01-01-1965,3.230567537
01-02-1965,3.168624501
01-03-1965,3.120976013
01-04-1965,3.154329955
01-05-1965,3.192448746
01-06-1965,3.221037839
01-07-1965,3.30204027
01-08-1965,3.378277852
01-09-1965,3.368748154
01-10-1965,3.359218456
01-11-1965,3.425926341
01-12-1965,3.430691189
01-01-1966,3.440220887
01-02-1966,3.430691189
01-03-1966,3.483104527
01-04-1966,3.55457726
01-05-1966,3.635579691
01-06-1966,3.707052424
01-07-1966,3.768995459
01-08-1966,3.821408797
01-09-1966,3.754700913
01-10-1966,3.792819704
01-11-1966,3.821408797
01-12-1966,3.869057286
01-01-1967,3.950059717
01-02-1967,4.035826996
01-03-1967,4.054886392
01-04-1967,4.083475485
01-05-1967,4.159713067
01-06-1967,4.278834289
01-07-1967,4.397955511
01-08-1967,4.35983672
01-09-1967,4.388425813
01-10-1967,4.412250058
01-11-1967,4.331247627
01-12-1967,4.240715498
01-01-1968,4.216891254
01-02-1968,4.140653672
01-03-1968,4.06441609
01-04-1968,4.150183369
01-05-1968,4.164477916
01-06-1968,4.145418521
01-07-1968,4.154948218
01-08-1968,4.326482778
01-09-1968,4.417014906
01-10-1968,4.35983672
01-11-1968,4.221656103
01-12-1968,4.131123974
01-01-1969,4.140653672
01-02-1969,4.116829427
01-03-1969,4.193067009
01-04-1969,4.202596707
01-05-1969,4.235950649
01-06-1969,4.374131267
01-07-1969,4.436074302
01-08-1969,4.440839151
01-09-1969,4.431309453
01-10-1969,4.35983672
01-11-1969,4.293128836
01-12-1969,4.326482778
01-01-1970,4.426544604
01-02-1970,4.421779755
01-03-1970,4.474193093
01-04-1970,4.478957942
01-05-1970,4.550430675
01-06-1970,4.602844012
01-07-1970,4.607608861
01-08-1970,4.636197955
01-09-1970,4.664787048
01-10-1970,4.645727652
01-11-1970,4.602844012
01-12-1970,4.602844012
01-01-1971,4.664787048
01-02-1971,4.617138559
01-03-1971,4.621903408
01-04-1971,4.688611292
01-05-1971,4.712435537
01-06-1971,4.82679191
01-07-1971,4.883970096
01-08-1971,4.941148283
01-09-1971,4.955442829
01-10-1971,4.912559189
01-11-1971,4.845851305
01-12-1971,4.788673119
01-01-1972,4.931618585
01-02-1972,4.931618585
01-03-1972,4.984031922
01-04-1972,5.007856167
01-05-1972,5.055504656
01-06-1972,5.16509618
01-07-1972,5.279452553
01-08-1972,5.412868321
01-09-1972,5.398573774
01-10-1972,5.450987112
01-11-1972,5.436692565
01-12-1972,5.455751961
01-01-1973,5.46051681
01-02-1973,5.555813787
01-03-1973,5.617756823
01-04-1973,5.703524102
01-05-1973,5.913177453
01-06-1973,6.05135807
01-07-1973,6.246716874
01-08-1973,6.313424758
01-09-1973,6.289600514
01-10-1973,6.413486585
01-11-1973,6.613610237
01-12-1973,6.589785993
01-01-1974,6.880441774
01-02-1974,6.994798147
01-03-1974,7.256864835
01-04-1974,7.456988488
01-05-1974,7.666641839
01-06-1974,7.876295189
01-07-1974,8.138361877
01-08-1974,8.281307343
01-09-1974,8.386134019
01-10-1974,8.305131588
01-11-1974,8.186010366
01-12-1974,8.133597028
01-01-1975,8.152656424
01-02-1975,8.109772784
01-03-1975,8.047829749
01-04-1975,8.08594854
01-05-1975,8.214599459
01-06-1975,8.195540064
01-07-1975,8.109772784
01-08-1975,8.186010366
01-09-1975,8.181245517
01-10-1975,8.16695097
01-11-1975,7.995416411
01-12-1975,7.795292758
01-01-1976,7.666641839
01-02-1976,7.595169105
01-03-1976,7.495107279
01-04-1976,7.66187699
01-05-1976,7.804822456
01-06-1976,7.904884282
01-07-1976,8.186010366
01-08-1976,8.228894006
01-09-1976,8.271777646
01-10-1976,8.190775215
01-11-1976,8.147891575
01-12-1976,8.176480668
01-01-1977,8.238423704
01-02-1977,8.419487961
01-03-1977,8.429017658
01-04-1977,8.486195845
01-05-1977,8.638671009
01-06-1977,8.6767898
01-07-1977,8.695849195
01-08-1977,8.681554649
01-09-1977,8.672024951
01-10-1977,8.533844334
01-11-1977,8.500490392
01-12-1977,8.552903729
01-01-1978,8.50525524
01-02-1978,8.362309774
01-03-1978,8.429017658
01-04-1978,8.409958263
01-05-1978,8.438547356
01-06-1978,8.510020089
01-07-1978,8.610081916
01-08-1978,8.614846765
01-09-1978,8.600552218
01-10-1978,8.643435858
01-11-1978,8.643435858
01-12-1978,8.543374031
01-01-1979,8.552903729
01-02-1979,8.510020089
01-03-1979,8.714908591
01-04-1979,9.010329221
01-05-1979,9.148509838
01-06-1979,9.329574096
01-07-1979,9.758410494
01-08-1979,10.06812567
01-09-1979,10.19677659
01-10-1979,10.23966023
01-11-1979,10.23013053
01-12-1979,10.46360813
01-01-1980,10.49219722
01-02-1980,10.65896693
01-03-1980,10.74949906
01-04-1980,10.83050149
01-05-1980,11.05444939
01-06-1980,11.39275366
01-07-1980,11.88353309
01-08-1980,11.99788947
01-09-1980,12.15036463
01-10-1980,12.18848342
01-11-1980,11.89782764
01-12-1980,11.8358846
01-01-1981,12.11224584
01-02-1981,12.36001798
01-03-1981,12.44578526
01-04-1981,12.70785195
01-05-1981,12.80791377
01-06-1981,12.89368105
01-07-1981,13.18910168
01-08-1981,13.3272823
01-09-1981,13.12715865
01-10-1981,13.09380471
01-11-1981,12.97468348
01-12-1981,12.87938651
01-01-1982,12.95562409
01-02-1982,12.84603256
01-03-1982,12.76979498
01-04-1982,12.76026529
01-05-1982,12.81744347
01-06-1982,13.17004229
01-07-1982,13.43210898
01-08-1982,13.57028959
01-09-1982,13.40828473
01-10-1982,13.35110655
01-11-1982,13.33204715
01-12-1982,13.24627987
01-01-1983,13.33204715
01-02-1983,13.43687383
01-03-1983,13.56552474
01-04-1983,13.76088355
01-05-1983,14.11348237
01-06-1983,14.20401449
01-07-1983,14.36125451
01-08-1983,14.5947321
01-09-1983,14.66620483
01-10-1983,14.69002908
01-11-1983,14.69002908
01-12-1983,14.68049938
01-01-1984,14.85203394
01-02-1984,14.89491758
01-03-1984,14.88062303
01-04-1984,14.90444728
01-05-1984,15.09504123
01-06-1984,15.41905096
01-07-1984,15.79547402
01-08-1984,15.94794918
01-09-1984,15.77164977
01-10-1984,15.79070917
01-11-1984,15.70494189
01-12-1984,15.56676127
01-01-1985,15.6668231
01-02-1985,15.62393946
01-03-1985,15.75735523
01-04-1985,16.15283768
01-05-1985,16.300548
01-06-1985,16.47684741
01-07-1985,16.69603046
01-08-1985,16.74367894
01-09-1985,16.5149662
01-10-1985,16.57690923
01-11-1985,16.4863771
01-12-1985,16.41490437
01-01-1986,16.47684741
01-02-1986,16.53879044
01-03-1986,16.58167408
01-04-1986,16.7293844
01-05-1986,16.9247432
01-06-1986,17.10104261
01-07-1986,17.43458203
01-08-1986,17.58705719
01-09-1986,17.58229235
01-10-1986,17.73476751
01-11-1986,17.53940871
01-12-1986,17.41552264
01-01-1987,17.40599294
01-02-1987,17.35834445
01-03-1987,17.42505233
01-04-1987,17.5679978
01-05-1987,17.9873045
01-06-1987,18.15883906
01-07-1987,18.46378939
01-08-1987,18.87833124
01-09-1987,18.8449773
01-10-1987,18.87356639
01-11-1987,18.94503912
01-12-1987,18.91645003
01-01-1988,19.17375187
01-02-1988,19.16422217
01-03-1988,19.2452246
01-04-1988,19.18804642
01-05-1988,19.29287309
01-06-1988,19.4691725
01-07-1988,19.75029858
01-08-1988,19.76459313
01-09-1988,19.74076889
01-10-1988,19.95518709
01-11-1988,19.93136284
01-12-1988,19.81700647
01-01-1989,19.93136284
01-02-1989,19.95518709
01-03-1989,20.03142467
01-04-1989,20.26490226
01-05-1989,20.51743925
01-06-1989,20.72232775
01-07-1989,20.92721626
01-08-1989,21.32269871
01-09-1989,21.52758721
01-10-1989,21.52758721
01-11-1989,21.42752539
01-12-1989,21.31316901
01-01-1990,21.48946842
01-02-1990,21.5942951
01-03-1990,21.76106481
01-04-1990,22.11842847
01-05-1990,22.29949273
01-06-1990,22.6282673
01-07-1990,22.93798248
01-08-1990,23.05233885
01-09-1990,23.14287098
01-10-1990,23.44782131
01-11-1990,23.67653406
01-12-1990,23.87189286
01-01-1991,24.25308077
01-02-1991,24.51038261
01-03-1991,24.52467716
01-04-1991,24.66285777
01-05-1991,24.92015961
01-06-1991,25.38234995
01-07-1991,25.94460212
01-08-1991,26.76415613
01-09-1991,26.91663129
01-10-1991,26.8880422
01-11-1991,26.92616099
01-12-1991,27.03098766
01-01-1992,27.57894528
01-02-1992,27.77430409
01-03-1992,27.86007137
01-04-1992,28.07925442
01-05-1992,28.28414292
01-06-1992,28.75586296
01-07-1992,29.06557813
01-08-1992,29.38482301
01-09-1992,29.6278303
01-10-1992,29.76601092
01-11-1992,29.60400606
01-12-1992,29.56112242
01-01-1993,29.46582544
01-02-1993,29.78030546
01-03-1993,29.81842425
01-04-1993,29.89466184
01-05-1993,30.09002064
01-06-1993,30.67609705
01-07-1993,31.1001686
01-08-1993,31.59571288
01-09-1993,32.09602202
01-10-1993,32.26279173
01-11-1993,32.18655415
01-12-1993,32.20084869
01-01-1994,32.32473476
01-02-1994,32.59633115
01-03-1994,32.95369481
01-04-1994,33.47306334
01-05-1994,33.72216521
01-06-1994,34.25150667
01-07-1994,34.59402174
01-08-1994,34.81198587
01-09-1994,34.84312361
01-10-1994,35.09222548
01-11-1994,35.24791414
01-12-1994,35.65270468
01-01-1995,36.18204614
01-02-1995,36.40001028
01-03-1995,36.40001028
01-04-1995,37.14731588
01-05-1995,37.42755548
01-06-1995,37.58324414
01-07-1995,37.92575921
01-08-1995,37.92575921
01-09-1995,37.95689694
01-10-1995,38.05031014
01-11-1995,38.14372334
01-12-1995,38.01917241
01-01-1996,37.98803468
01-02-1996,38.01917241
01-03-1996,38.05031014
01-04-1996,38.51737614
01-05-1996,38.76647801
01-06-1996,38.95330441
01-07-1996,39.54492134
01-08-1996,39.79402321
01-09-1996,39.88743641
01-10-1996,39.79402321
01-11-1996,39.85629868
01-12-1996,40.01198734
01-01-1997,39.94971188
01-02-1997,40.10540054
01-03-1997,40.10540054
01-04-1997,40.75929294
01-05-1997,40.72815521
01-06-1997,40.91498161
01-07-1997,40.97725708
01-08-1997,41.10180801
01-09-1997,41.38204761
01-10-1997,41.53773628
01-11-1997,41.44432308
01-12-1997,41.63114948
01-01-1998,41.97366454
01-02-1998,41.78683814
01-03-1998,41.84911361
01-04-1998,42.62755694
01-05-1998,43.03234748
01-06-1998,43.53055121
01-07-1998,43.87306628
01-08-1998,43.77965308
01-09-1998,43.84192854
01-10-1998,44.21558134
01-11-1998,44.40240774
01-12-1998,44.24671908
01-01-1999,43.87306628
01-02-1999,44.02875494
01-03-1999,44.09103041
01-04-1999,44.34013228
01-05-1999,44.46468321
01-06-1999,44.62037188
01-07-1999,44.74492281
01-08-1999,45.02516241
01-09-1999,45.24312654
01-10-1999,45.74133028
01-11-1999,45.77246801
01-12-1999,45.49222841
01-01-2000,45.42995294
01-02-2000,45.58564161
01-03-2000,46.55091134
01-04-2000,47.23594148
01-05-2000,47.26707921
01-06-2000,47.54731881
01-07-2000,47.67186974
01-08-2000,47.76528294
01-09-2000,48.17007348
01-10-2000,49.16648095
01-11-2000,49.25989415
01-12-2000,49.35330735
01-01-2001,49.38444508
01-02-2001,49.38444508
01-03-2001,49.54013375
01-04-2001,49.78923561
01-05-2001,49.91378655
01-06-2001,50.06947521
01-07-2001,50.16288841
01-08-2001,50.34971481
01-09-2001,50.34971481
01-10-2001,50.59881668
01-11-2001,50.53654121
01-12-2001,50.38085255
01-01-2002,50.13175068
01-02-2002,50.06947521
01-03-2002,50.41199028
01-04-2002,50.53654121
01-05-2002,50.69222988
01-06-2002,51.28384681
01-07-2002,51.56408641
01-08-2002,52.03115241
01-09-2002,52.12456561
01-10-2002,52.15570335
01-11-2002,52.24911655
01-12-2002,52.06229015
01-01-2003,52.24911655
01-02-2003,52.74732028
01-03-2003,53.43235041
01-04-2003,53.89941641
01-05-2003,53.99282961
01-06-2003,54.02396735
01-07-2003,53.99282961
01-08-2003,54.08624281
01-09-2003,54.67785975
01-10-2003,54.83354841
01-11-2003,55.08265028
01-12-2003,55.05151255
01-01-2004,55.64312948
01-02-2004,55.98564455
01-03-2004,55.98564455
01-04-2004,56.32815961
01-05-2004,56.70181241
01-06-2004,57.66708215
01-07-2004,58.10301041
01-08-2004,58.66348961
01-09-2004,58.97486695
01-10-2004,58.81917828
01-11-2004,59.22396881
01-12-2004,58.78804055
01-01-2005,58.72576508
01-02-2005,58.78804055
01-03-2005,58.97486695
01-04-2005,59.65989708
01-05-2005,59.48579232
01-06-2005,59.717932
01-07-2005,60.35631611
01-08-2005,60.41435103
01-09-2005,60.82059547
01-10-2005,61.05273515
01-11-2005,61.16880498
01-12-2005,60.76256055
01-01-2006,61.05273515
01-02-2006,61.16880498
01-03-2006,61.2268399
01-04-2006,62.44557321
01-05-2006,62.96788748
01-06-2006,63.66430652
01-07-2006,64.18662079
01-08-2006,64.59286522
01-09-2006,64.99910966
01-10-2006,65.28928426
01-11-2006,65.23124934
01-12-2006,65.05714458
01-01-2007,65.17321442
01-02-2007,65.23124934
01-03-2007,65.4053541
01-04-2007,66.39194772
01-05-2007,66.50801756
01-06-2007,66.6240874
01-07-2007,67.08836676
01-08-2007,67.26247151
01-09-2007,67.32050643
01-10-2007,67.49461119
01-11-2007,67.72675087
01-12-2007,67.66871595
01-01-2008,68.19103022
01-02-2008,69.06155401
01-03-2008,70.512427
01-04-2008,71.67312538
01-05-2008,72.0213349
01-06-2008,73.87845232
01-07-2008,74.63290627
01-08-2008,74.80701103
01-09-2008,74.57487135
01-10-2008,74.69094119
01-11-2008,73.64631264
01-12-2008,72.25347458
01-01-2009,72.19543966
01-02-2009,71.55705555
01-03-2009,71.67312538
01-04-2009,72.54364917
01-05-2009,73.06596345
01-06-2009,73.58827772
01-07-2009,74.40076659
01-08-2009,75.21325546
01-09-2009,75.6194999
01-10-2009,76.02574433
01-11-2009,77.1284078
01-12-2009,77.4185824
01-01-2010,78.46321095
01-02-2010,78.46321095
01-03-2010,79.10159506
01-04-2010,80.4363982
01-05-2010,80.7265728
01-06-2010,81.13281724
01-07-2010,81.82923627
01-08-2010,81.88727119
01-09-2010,82.40958546
01-10-2010,82.93189974
01-11-2010,83.45421401
01-12-2010,84.73098224
01-01-2011,85.89168062
01-02-2011,85.94971554
01-03-2011,86.76220441
01-04-2011,88.27111232
01-05-2011,88.44521707
01-06-2011,88.85146151
01-07-2011,89.48984562
01-08-2011,89.89609006
01-09-2011,90.65054401
01-10-2011,91.11482336
01-11-2011,91.34696304
01-12-2011,91.28892812
01-01-2012,92.10141699
01-02-2012,92.44962651
01-03-2012,93.43622014
01-04-2012,94.88709312
01-05-2012,95.4308587
01-06-2012,95.4308587
01-07-2012,96.24650706
01-08-2012,96.88090023
01-09-2012,97.51529341
01-10-2012,97.33403821
01-11-2012,97.24341062
01-12-2012,97.06215543
01-01-2013,97.87780379
01-02-2013,98.24031418
01-03-2013,98.42156937
01-04-2013,98.42156937
01-05-2013,98.42156937
01-06-2013,99.78098331
01-07-2013,100.7778869
01-08-2013,102.318556
01-09-2013,103.5873423
01-10-2013,103.8592251
01-11-2013,103.5873423
01-12-2013,102.771694
01-01-2014,102.9529492
01-02-2014,102.9529492
01-03-2014,103.5873423
01-04-2014,103.4060872
01-05-2014,104.0404803
01-06-2014,104.4029907
01-07-2014,105.7624047
01-08-2014,106.2155426
01-09-2014,105.4905219
01-10-2014,104.7655011
01-11-2014,103.4060872
01-12-2014,101.5935352
01-01-2015,100.4153765
01-02-2015,99.32784533
01-03-2015,99.59972812
01-04-2015,99.87161091
01-05-2015,100.9591421
01-06-2015,101.3216524
01-07-2015,100.6872593
01-08-2015,99.69035571
01-09-2015,99.59972812
01-10-2015,99.78098331
01-11-2015,99.59972812
01-12-2015,99.14659014
01-01-2016,97.87780379
01-02-2016,97.06215543
01-03-2016,97.605921
01-04-2016,98.78407975
01-05-2016,100.0528661
01-06-2016,101.2310248
01-07-2016,101.3216524
01-08-2016,100.7778869
01-09-2016,100.9591421
01-10-2016,101.0497697
01-11-2016,101.41228
01-12-2016,101.2310248
01-01-2017,102.0466732
01-02-2017,102.4091836
01-03-2017,102.5904388
01-04-2017,102.5904388
01-05-2017,102.318556
01-06-2017,102.1373008
01-07-2017,103.224832
01-08-2017,104.0404803
01-09-2017,104.1311079
01-10-2017,104.7655011
01-11-2017,105.4905219
01-12-2017,104.8561287
01-01-2018,105.1280115
01-02-2018,105.2186391
01-03-2018,105.3998943
01-04-2018,106.3061702
01-05-2018,107.2124462
01-06-2018,107.937467
01-07-2018,108.6624877
01-08-2018,108.8437429
01-09-2018,109.5687637
01-10-2018,110.5656672
01-11-2018,110.2031569
01-12-2018,108.4812325
01-01-2019,108.0280946
01-02-2019,108.2999773
01-03-2019,108.6624877
01-04-2019,109.7500189
01-05-2019,110.2031569
01-06-2019,110.1125293
01-07-2019,109.9312741
01-08-2019,110.1125293
01-09-2019,109.9312741
01-10-2019,110.5656672
01-11-2019,110.83755
01-12-2019,111.4719432
01-01-2020,111.8344536
01-02-2020,110.7469224
01-03-2020,109.1156257
01-04-2020,108.0280946
01-05-2020,106.4874254
01-06-2020,108.1187222
01-07-2020,109.6593913
01-08-2020,110.5656672
01-09-2020,111.3813156
01-10-2020,112.0157088
01-11-2020,113.3751227
01-12-2020,113.6470055
01-01-2021,114.6439091
01-02-2021,116.0939506
01-03-2021,117.7252473
01-04-2021,119.6284269
01-05-2021,120.4440752
01-06-2021,121.169096
01-07-2021,122.3472547
01-08-2021,123.4347859
01-09-2021,123.2535307
01-10-2021,126.0629862
